id,distance,duration
5196233,143,33
5209794,419,102
5212418,145,40
5212469,1725,186
5217164,208,87
5222044,159,51
5229280,242,63
5242394,215,60
5272750,79,23
5286047,209,49
5286779,212,40
5286782,313,73
5317789,555,118
5320351,61,10
5327231,204,58
5345792,276,47
5376278,66,33
5413930,26,14
5433133,252,87
5436115,282,89
5478359,61,18
5480795,158,43
5505643,53,10
5537718,196,66
5547500,2,0
5548977,186,47
5557316,173,78
5560256,32,6
5572169,144,62
5577516,70,10
5591544,392,122
5592637,193,46
5592675,75,31
5592754,26,5
5615061,159,31
5632275,285,66
5632452,618,104
5632672,158,40
5666413,379,89
5666454,590,150
5697110,222,94
5749839,416,69
5774490,147,59
5788099,715,227
5804060,23,5
5821380,241,74
5846567,141,34
5849626,46,10
5850037,197,52
5852066,376,124
5853587,62,9
5863674,52,11
5884735,177,30
5891594,139,40
5905163,539,82
5905530,215,52
5918090,160,40
5918432,105,16
5932678,1382,369
5933430,302,105
5944989,64,24
5945396,64,24
5945812,64,24
5955398,154,41
5970639,598,121
5978964,404,64
5986025,263,55
5990171,39,8
5998790,55,12
6006021,559,111
6006768,291,51
6007925,582,176
6015077,151,27
6016647,97,26
6020579,128,33
6042966,238,55
6045869,831,211
6072316,240,68
6072767,1513,251
6074750,191,41
6090316,73,24
6091945,223,45
6092049,21,3
6092596,257,51
6107258,86,22
6107359,30,6
6117147,1,0
6119086,215,48
6119683,9,2
6120540,156,31
6132191,7,2
6145605,500,88
6154096,24,7
6156195,93,27
6163821,159,31
6168622,0,0
6169292,147,41
6195258,442,121
6214853,132,30
6238514,168,31
6245649,105,22
6257770,91,45
6272183,157,31
6272816,4456,353
6273036,49,7
6301675,385,96
6316753,161,45
6324586,161,57
6328559,570,138
6329340,53,11
6329731,336,105
6335352,261,111
6336315,286,67
6338562,50,13
6344096,214,68
6344500,271,101
6348293,143,38
6348742,236,64
6360976,24,4
6364873,68,12
6365190,80,14
6373849,656,115
6374167,691,148
6376338,813,73
6378495,163,61
6402782,68,18
6415052,188,39
6423158,315,68
6430646,30,4
6435497,152,53
6448545,429,113
6453774,76,18
6472998,34,6
6473013,64,14
6473215,5,1
6481492,159,60
6494663,147,28
6505426,127,30
6512986,0,0
6514826,677,177
6516295,1033,245
6522477,277,51
6523507,38,5
6526129,133,49
6526344,219,61
6529234,530,100
6543813,135,37
6557736,137,26
6560870,656,179
6587558,141,42
6591087,271,62
6604564,351,110
6604799,7,1
6627450,416,123
6628985,166,54
6643496,3035,388
6648062,301,54
6649234,185,55
6653474,187,56
6662128,846,263
6662231,154,58
6684182,326,71
6688004,724,123
6691495,248,54
6701045,1284,297
6702058,113,24
6713990,1103,321
6715383,127,34
6727254,118,20
6748645,289,72
6749412,1266,280
6762434,722,183
6764986,636,203
6782479,5,1
6784032,155,61
6798145,34,3
6800168,46,39
6822748,58,14
6835462,201,78
6836411,244,69
6836928,958,206
6870420,227,73
6878780,130,43
6883183,710,180
6884454,54,14
6885422,51,41
6886839,7,2
6887043,439,91
6887081,541,120
6898334,430,96
6911587,26,7
6913294,71,18
6915497,5,1
6926901,165,47
6934867,239,43
6934874,431,79
6938818,123,41
6940354,74,27
6940448,182,54
6955678,490,161
6957662,21,3
6968158,19,4
6970746,830,162
6973383,43,8
6973631,58,9
6974259,801,92
6985131,109,32
6993593,24,5
7003729,77,18
7007759,261,38
7009654,423,106
7009791,56,12
7009809,161,21
7020637,238,55
7026287,428,119
7027139,150,23
7028127,698,167
7034114,247,67
7035672,205,44
7038488,488,100
7053220,83,27
7054235,505,83
7065335,41,11
7065694,81,17
7067087,840,261
7067681,100,13
7068804,207,36
7072662,260,112
7073115,920,108
7086626,870,104
7093018,123,26
7140740,780,119
7143032,228,83
7146663,755,203
7162627,206,46
7180020,266,92
7181655,337,105
7182761,401,149
7196412,22,4
7202063,174,50
7204761,361,104
7220035,59,14
7222704,312,75
7226841,31,8
7227910,87,31
7247351,3500,226
7247746,231,70
7259606,59,25
7259880,135,28
7290262,70,19
7292878,877,169
7302136,337,74
7309811,174,47
7309852,180,76
7323097,132,37
7327920,35,10
7331464,145,43
7341076,133,21
7342996,241,59
7343245,431,120
7343277,652,207
7344289,574,162
7345170,277,51
7345468,1589,225
7348398,557,106
7367530,23,7
7386838,360,69
7389541,200,35
7404181,153,30
7421008,184,40
7437925,175,42
7439398,14,3
7459197,206,53
7459988,594,176
7478631,334,74
7483031,158,25
7493861,694,137
7499793,334,90
7514742,185,36
7544803,72,13
7547105,54,25
7548762,80,34
7549488,126,55
7558236,95,19
7562249,186,62
7581918,229,43
7596529,128,26
7650309,276,71
7665362,78,38
7666482,119,79
7676566,50,20
7689528,229,74
7695697,30,6
7696468,35,11
7697503,70,79
7699276,58,12
7699710,112,32
7701360,1184,178
7715542,118,26
7715861,64,24
7718075,127,44
7726184,219,72
7729217,1899,211
7754018,104,23
7764531,133,26
7805578,267,68
7808104,712,156
7810254,138,33
7825894,184,50
7841744,340,72
7842771,155,37
7844031,247,51
7845599,247,64
7854509,269,78
7856443,118,50
7859448,106,32
7884875,1965,218
7886634,255,54
7897391,704,184
7899085,30,5
7903768,48,8
7921739,426,91
7923146,24,6
7930461,764,134
7930685,103,26
7933558,39,8
7933807,48,6
7939511,290,90
7956817,450,98
7958214,130,45
7958278,532,159
7958316,740,199
7958349,112,25
7963103,562,165
7968749,20,5
7972067,672,123
7973781,207,139
7975011,108,22
7982082,195,37
7983070,285,101
8005452,109,29
8030646,264,84
8033268,541,168
8033975,722,183
8041262,272,60
8051735,131,68
8053292,71,12
8053481,304,86
8061617,46,19
8068539,287,68
8082364,135,52
8084285,542,168
8084290,96,22
8089051,75,18
8101619,69,12
8102262,151,21
8105804,797,181
8105974,466,114
8117667,2,1
8119395,39,8
8144992,15,8
8151985,7,1
8152867,134,31
8155106,60,10
8155586,706,115
8164773,32,9
8167459,153,30
8172628,88,26
8184928,199,67
8187584,168,32
8192881,16,3
8195144,10,1
8202578,588,170
8207665,134,31
8208052,958,246
8209055,200,61
8209591,13,3
8221207,464,147
8255072,490,115
8270952,431,139
8272458,58,11
8275435,407,83
8275596,416,76
8276309,253,51
8287266,68,16
8290464,180,46
8309401,450,130
8324569,697,165
8328410,38,5
8336617,129,46
8338986,162,39
8342838,1387,288
8351923,457,75
8352275,0,0
8353031,23,5
8356380,171,59
8382187,313,70
8418067,169,48
8422161,188,73
8438267,61,12
8456859,184,45
8464365,174,48
8472083,165,34
8472666,170,41
8472927,560,95
8474183,108,75
8474452,59,10
8489712,148,46
8500048,770,140
8520295,51,7
8524982,54,11
8542873,186,30
8554141,611,195
8556635,309,90
8557304,150,66
8565105,45,13
8565153,13,4
8568826,161,40
8578964,199,43
8584000,202,51
8590211,29,7
8591098,500,124
8592609,74,12
8595304,39,5
8612967,99,48
8627179,855,231
8631677,593,153
8646903,179,50
8653346,83,19
8684508,738,198
8685570,233,73
8685652,866,261
8685716,753,190
8685766,9,2
8685817,606,192
8685898,77,33
8713608,212,66
8717641,259,41
8722927,32,5
8733261,20,4
8735636,498,100
8760949,483,143
8762967,65,14
8775500,384,94
8793569,370,88
8794180,385,84
8800012,91,21
8848449,776,101
8859249,196,68
